inquiry_id,listing_id,listing_name,user_id
LIzDcuKKuBqf,LbzXb7RLQ2S1,Female Bedspace Dormitory Near Feu Nrmf Quezon City,UyQDQtpLDIk7
LIdPLWOi8h1x,LbX0HYnzVHKI,Female Bedspace for Rent in Quezon City at The Avenue Residences,UrGlb1g22oPD
LIEV5HOIAMv2,Lbgcj4V8d5nY,St Anne Dormitory -solo room,UFivW2r5pQ17
LILre1gv0ZWn,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UPPI8SvwrGIP
LIDLAZALUKiB,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UPPI8SvwrGIP
LIYLiWeRbU8y,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UBeD6Fmn4RyY
LIPWZzmsrNle,LbkUTzjjSafl,2BR Condo for Rent @ Commonwealth QC,UBeD6Fmn4RyY
LIGkUOvAH1WB,Lbjg82dFIlHf,Studio Deluxe (For Rent & For Sale & Rent to Own),UBeD6Fmn4RyY
LIHaYqmLFGJH,Lbc3Ba0of1je,"20sqm studio apartment unit with t&b, kitchen",UPPI8SvwrGIP
LIy3DvWgpPiZ,LbBqY61MoxCJ,MyTown Rio,UeAwdjnnvoJE
LIG8YtRIktKA,LblzBFJ1gHrm,1BR Furnished,UPK932pwfkKu
LI48d6gGnnvf,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UPK932pwfkKu
LIfwKN2fM6aB,LbA1SMI7ezgC,Male Bedspace for Rent in Quezon City at The Avenue Residences (2BR),UxbO76vw7bOR
LI1NidRIN77Z,LbnlTMPipfv4,Condo Unit at Vista Recto,UtFuwP9epq3T
LIjhfVLTccXs,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UXnUAS0tmQlq
LIbfSGxAU96N,LbBqY61MoxCJ,MyTown Rio,Uf2zfe98dDF8
LImh7pIiVxyw,LbO9iorp2X8k,MyTown Seoul,U8yCf6KX3HfW
LIqjFwgaGMCP,Lb4j4pDHIUn6,Room For Rent in U-Belt,US2dmzsJApJG
